epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,15775.2,1.17577,0.83295,1.23506,0.9478,0.89481,0.94748,0.64372,1.18984,0.5747,1.22669,0.005644,0.005644,0.005644
134,15891.1,1.17538,0.82703,1.23618,0.9485,0.89609,0.94874,0.64425,1.18991,0.57345,1.22643,0.005611,0.005611,0.005611
135,16008.6,1.17494,0.83209,1.23596,0.94971,0.89644,0.94826,0.64455,1.18933,0.57279,1.22604,0.005578,0.005578,0.005578
136,16125.4,1.16367,0.82331,1.23262,0.95067,0.89644,0.94736,0.64443,1.18887,0.57236,1.2257,0.005545,0.005545,0.005545
137,16242.1,1.16142,0.82129,1.22601,0.95163,0.89591,0.94802,0.64455,1.18839,0.57182,1.22538,0.005512,0.005512,0.005512
138,16359.5,1.1612,0.81173,1.22799,0.95269,0.89198,0.94708,0.64445,1.18815,0.57066,1.22485,0.005479,0.005479,0.005479
139,16477.1,1.18006,0.83126,1.23233,0.95152,0.89383,0.94763,0.64514,1.18733,0.56977,1.22415,0.005446,0.005446,0.005446
140,16593.8,1.17876,0.82936,1.22602,0.95129,0.89457,0.94704,0.64592,1.18689,0.56912,1.22344,0.005413,0.005413,0.005413
141,16710.5,1.1651,0.81723,1.22501,0.95463,0.89266,0.94789,0.64562,1.18641,0.5679,1.22312,0.00538,0.00538,0.00538
142,16827.4,1.15126,0.79496,1.21763,0.95322,0.89457,0.94813,0.6458,1.18628,0.56766,1.22292,0.005347,0.005347,0.005347
143,16944.6,1.15988,0.81118,1.22539,0.95587,0.89181,0.94833,0.64638,1.18569,0.56703,1.22252,0.005314,0.005314,0.005314
144,17061.4,1.16446,0.82512,1.2308,0.95403,0.89324,0.94922,0.64669,1.1847,0.56635,1.22157,0.005281,0.005281,0.005281
145,17178.8,1.15423,0.79605,1.21311,0.95404,0.89355,0.94924,0.64643,1.18435,0.56534,1.22135,0.005248,0.005248,0.005248
146,17295.4,1.14888,0.80458,1.22192,0.9529,0.89609,0.94947,0.64736,1.18413,0.56469,1.22095,0.005215,0.005215,0.005215
147,17412.8,1.15182,0.80199,1.21713,0.9523,0.89671,0.94947,0.64873,1.184,0.56413,1.2207,0.005182,0.005182,0.005182
148,17529.5,1.14058,0.78666,1.20317,0.95102,0.89639,0.9498,0.64845,1.18328,0.56334,1.21994,0.005149,0.005149,0.005149
149,17645.8,1.1382,0.78535,1.20726,0.95101,0.89607,0.94897,0.64869,1.18232,0.56274,1.21926,0.005116,0.005116,0.005116
150,17762.3,1.14077,0.79645,1.2091,0.94973,0.89577,0.94929,0.64861,1.18204,0.56212,1.21887,0.005083,0.005083,0.005083
151,17879.4,1.13215,0.7828,1.19817,0.94975,0.89607,0.94952,0.64912,1.18151,0.56137,1.21849,0.00505,0.00505,0.00505
152,17996.9,1.13138,0.78784,1.20753,0.9497,0.89507,0.94988,0.64912,1.18138,0.56044,1.21832,0.005017,0.005017,0.005017
153,18114.7,1.13179,0.78215,1.20253,0.95031,0.89485,0.95028,0.65006,1.18086,0.56036,1.21804,0.004984,0.004984,0.004984
154,18232.2,1.13047,0.78991,1.20885,0.95041,0.89662,0.95054,0.64975,1.18077,0.55988,1.2179,0.004951,0.004951,0.004951
155,18349.3,1.12447,0.7826,1.1993,0.95011,0.89707,0.95102,0.65017,1.18026,0.55959,1.21758,0.004918,0.004918,0.004918
156,18465.9,1.12048,0.77883,1.19809,0.94856,0.89723,0.95068,0.65023,1.17958,0.55886,1.21702,0.004885,0.004885,0.004885
157,18583.5,1.11817,0.78015,1.19614,0.94978,0.89671,0.95095,0.65094,1.17899,0.5579,1.2166,0.004852,0.004852,0.004852
158,18700,1.11777,0.77703,1.19648,0.94975,0.89611,0.95111,0.65067,1.17871,0.55814,1.21637,0.004819,0.004819,0.004819
159,18817.9,1.1341,0.78706,1.20664,0.95174,0.89582,0.95141,0.65171,1.17855,0.55773,1.21617,0.004786,0.004786,0.004786
